Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-03-07;B;YTD;-3.03%
8088;2023-03-08;B;1M;-3.79%
8088;2023-03-08;B;3M;-9.12%
8088;2023-03-08;B;6M;-6.99%
8088;2023-03-08;B;1Y;-8.49%
8088;2023-03-08;B;YTD;-3.54%
8088;2023-03-09;B;1M;-5.45%
8088;2023-03-09;B;3M;-8.00%
8088;2023-03-09;B;6M;-11.96%
8088;2023-03-09;B;1Y;-9.88%
8088;2023-03-09;B;YTD;-5.12%
8088;2023-03-10;B;1M;-7.15%
8088;2023-03-10;B;3M;-9.92%
8088;2023-03-10;B;6M;-13.80%
8088;2023-03-10;B;1Y;-14.53%
8088;2023-03-10;B;YTD;-7.10%
8088;2023-03-11;B;1M;-7.14%
8088;2023-03-11;B;3M;-9.92%
8088;2023-03-11;B;6M;-13.80%
8088;2023-03-11;B;1Y;-12.58%
8088;2023-03-11;B;YTD;-7.11%
8088;2023-03-12;B;1M;-7.15%
8088;2023-03-12;B;3M;-9.70%
8088;2023-03-12;B;6M;-18.70%
8088;2023-03-12;B;1Y;-12.59%
8088;2023-03-12;B;YTD;-7.11%
8088;2023-03-13;B;1M;-6.78%
8088;2023-03-13;B;3M;-10.78%
8088;2023-03-13;B;6M;-18.05%
8088;2023-03-13;B;1Y;-12.50%
8088;2023-03-13;B;YTD;-7.03%
8088;2023-03-14;B;1M;-6.53%
8088;2023-03-14;B;3M;-11.01%
8088;2023-03-14;B;6M;-17.45%
8088;2023-03-14;B;1Y;-12.30%
8088;2023-03-14;B;YTD;-6.88%
8088;2023-03-15;B;1M;-5.30%
8088;2023-03-15;B;3M;-9.19%
8088;2023-03-15;B;6M;-16.26%
8088;2023-03-15;B;1Y;-11.76%
8088;2023-03-15;B;YTD;-5.46%
8088;2023-03-16;B;1M;-3.83%
8088;2023-03-16;B;3M;-7.59%
8088;2023-03-16;B;6M;-15.01%
8088;2023-03-16;B;1Y;-10.64%
8088;2023-03-16;B;YTD;-4.05%
8088;2023-03-17;B;1M;-2.10%
8088;2023-03-17;B;3M;-6.75%
8088;2023-03-17;B;6M;-14.23%
8088;2023-03-17;B;1Y;-11.16%
8088;2023-03-17;B;YTD;-3.18%
8088;2023-03-18;B;1M;-2.10%
8088;2023-03-18;B;3M;-6.75%
8088;2023-03-18;B;6M;-14.23%
8088;2023-03-18;B;1Y;-12.60%
8088;2023-03-18;B;YTD;-3.19%
8088;2023-03-19;B;1M;-2.10%
8088;2023-03-19;B;3M;-6.28%
8088;2023-03-19;B;6M;-14.23%
8088;2023-03-19;B;1Y;-12.60%
8088;2023-03-19;B;YTD;-3.19%
8088;2023-03-20;B;1M;-2.30%
8088;2023-03-20;B;3M;-6.62%
8088;2023-03-20;B;6M;-13.39%
8088;2023-03-20;B;1Y;-12.85%
8088;2023-03-20;B;YTD;-3.47%
8088;2023-03-21;B;1M;-1.69%
8088;2023-03-21;B;3M;-5.81%
8088;2023-03-21;B;6M;-13.15%
8088;2023-03-21;B;1Y;-12.55%
8088;2023-03-21;B;YTD;-3.10%
8088;2023-03-22;B;1M;-1.33%
8088;2023-03-22;B;3M;-4.44%
8088;2023-03-22;B;6M;-12.44%
8088;2023-03-22;B;1Y;-12.60%
8088;2023-03-22;B;YTD;-3.27%
8088;2023-03-23;B;1M;-3.49%
8088;2023-03-23;B;3M;-6.71%
8088;2023-03-23;B;6M;-14.13%
8088;2023-03-23;B;1Y;-13.97%
8088;2023-03-23;B;YTD;-4.82%
8088;2023-03-24;B;1M;-4.09%
8088;2023-03-24;B;3M;-6.35%
8088;2023-03-24;B;6M;-13.80%
8088;2023-03-24;B;1Y;-13.05%
8088;2023-03-24;B;YTD;-4.46%
8088;2023-03-25;B;1M;-4.09%
8088;2023-03-25;B;3M;-6.35%
8088;2023-03-25;B;6M;-13.80%
8088;2023-03-25;B;1Y;-13.07%
8088;2023-03-25;B;YTD;-4.46%
8088;2023-03-26;B;1M;-4.09%
8088;2023-03-26;B;3M;-6.75%
8088;2023-03-26;B;6M;-14.67%
8088;2023-03-26;B;1Y;-13.07%
8088;2023-03-26;B;YTD;-4.47%
8088;2023-03-27;B;1M;-6.00%
8088;2023-03-27;B;3M;-6.67%
8088;2023-03-27;B;6M;-14.13%
8088;2023-03-27;B;1Y;-13.28%
8088;2023-03-27;B;YTD;-4.70%
8088;2023-03-28;B;1M;-6.34%
8088;2023-03-28;B;3M;-4.75%
8088;2023-03-28;B;6M;-14.24%
8088;2023-03-28;B;1Y;-13.20%
8088;2023-03-28;B;YTD;-5.36%
8088;2023-03-29;B;1M;-6.49%
8088;2023-03-29;B;3M;-5.74%
8088;2023-03-29;B;6M;-13.68%
8088;2023-03-29;B;1Y;-14.36%
8088;2023-03-29;B;YTD;-5.51%
8088;2023-03-30;B;1M;-5.88%
8088;2023-03-30;B;3M;-4.89%
8088;2023-03-30;B;6M;-11.89%
8088;2023-03-30;B;1Y;-15.37%
8088;2023-03-30;B;YTD;-4.89%
8088;2023-03-31;B;1M;-5.05%
8088;2023-03-31;B;3M;-4.04%
8088;2023-03-31;B;6M;-11.11%
8088;2023-03-31;B;1Y;-13.81%
8088;2023-03-31;B;YTD;-4.05%
8088;2023-04-01;B;1M;-3.34%
8088;2023-04-01;B;3M;-4.04%
8088;2023-04-01;B;6M;-11.11%
8088;2023-04-01;B;1Y;-12.71%
8088;2023-04-01;B;YTD;-4.05%
8088;2023-04-02;B;1M;-3.03%
8088;2023-04-02;B;3M;-4.04%
8088;2023-04-02;B;6M;-11.11%
8088;2023-04-02;B;1Y;-12.71%
8088;2023-04-02;B;YTD;-4.06%
8088;2023-04-03;B;1M;-1.53%
8088;2023-04-03;B;3M;-1.42%
8088;2023-04-03;B;6M;-9.39%
8088;2023-04-03;B;1Y;-10.89%
8088;2023-04-03;B;YTD;-2.07%
8088;2023-04-04;B;1M;-0.47%
8088;2023-04-04;B;3M;-1.41%
8088;2023-04-04;B;6M;-9.05%
8088;2023-04-04;B;1Y;-10.01%
8088;2023-04-04;B;YTD;-1.03%
8088;2023-04-05;B;1M;-1.48%
8088;2023-04-05;B;3M;-2.11%
8088;2023-04-05;B;6M;-11.64%
8088;2023-04-05;B;1Y;-11.13%
8088;2023-04-05;B;YTD;-2.03%
8088;2023-04-06;B;1M;-1.30%
8088;2023-04-06;B;3M;-1.11%
8088;2023-04-06;B;6M;-11.09%
8088;2023-04-06;B;1Y;-10.61%
8088;2023-04-06;B;YTD;-1.60%
8088;2023-04-07;B;1M;1.47%
8088;2023-04-07;B;3M;-1.12%
8088;2023-04-07;B;6M;-9.48%
8088;2023-04-07;B;1Y;-11.68%
8088;2023-04-07;B;YTD;-1.61%
8088;2023-04-08;B;1M;2.00%
8088;2023-04-08;B;3M;-1.12%
8088;2023-04-08;B;6M;-9.48%
8088;2023-04-08;B;1Y;-12.78%
8088;2023-04-08;B;YTD;-1.61%
8088;2023-04-09;B;1M;3.69%
8088;2023-04-09;B;3M;-1.52%
8088;2023-04-09;B;6M;-9.48%
8088;2023-04-09;B;1Y;-12.77%
8088;2023-04-09;B;YTD;-1.61%
8088;2023-04-10;B;1M;6.71%
8088;2023-04-10;B;3M;-0.27%
8088;2023-04-10;B;6M;-8.79%
8088;2023-04-10;B;1Y;-12.11%
8088;2023-04-10;B;YTD;-0.87%
8088;2023-04-11;B;1M;6.01%
8088;2023-04-11;B;3M;-0.78%
8088;2023-04-11;B;6M;-2.30%
8088;2023-04-11;B;1Y;-12.26%
8088;2023-04-11;B;YTD;-1.53%
8088;2023-04-12;B;1M;4.03%
8088;2023-04-12;B;3M;-3.00%
8088;2023-04-12;B;6M;-3.55%
8088;2023-04-12;B;1Y;-12.19%
8088;2023-04-12;B;YTD;-3.37%
8088;2023-04-13;B;1M;3.62%
8088;2023-04-13;B;3M;-4.08%
8088;2023-04-13;B;6M;-5.46%
8088;2023-04-13;B;1Y;-12.30%
8088;2023-04-13;B;YTD;-3.66%
8088;2023-04-14;B;1M;3.94%
8088;2023-04-14;B;3M;-3.62%
8088;2023-04-14;B;6M;-5.85%
8088;2023-04-14;B;1Y;-12.97%
8088;2023-04-14;B;YTD;-3.21%
8088;2023-04-15;B;1M;2.37%
8088;2023-04-15;B;3M;-3.62%
8088;2023-04-15;B;6M;-5.85%
8088;2023-04-15;B;1Y;-12.96%
8088;2023-04-15;B;YTD;-3.22%
8088;2023-04-16;B;1M;0.87%
8088;2023-04-16;B;3M;-3.50%
8088;2023-04-16;B;6M;-5.85%
8088;2023-04-16;B;1Y;-12.96%
8088;2023-04-16;B;YTD;-3.22%
8088;2023-04-17;B;1M;0.46%
8088;2023-04-17;B;3M;-3.04%
8088;2023-04-17;B;6M;-7.82%
8088;2023-04-17;B;1Y;-12.52%
8088;2023-04-17;B;YTD;-2.73%
8088;2023-04-18;B;1M;-0.01%
8088;2023-04-18;B;3M;-2.32%
8088;2023-04-18;B;6M;-10.11%
8088;2023-04-18;B;1Y;-12.96%
8088;2023-04-18;B;YTD;-3.19%
8088;2023-04-19;B;1M;-0.05%
8088;2023-04-19;B;3M;-3.21%
8088;2023-04-19;B;6M;-10.19%
8088;2023-04-19;B;1Y;-13.24%
8088;2023-04-19;B;YTD;-3.23%
8088;2023-04-20;B;1M;-0.54%
8088;2023-04-20;B;3M;-3.61%
8088;2023-04-20;B;6M;-9.96%
8088;2023-04-20;B;1Y;-14.20%
8088;2023-04-20;B;YTD;-3.99%
8088;2023-04-21;B;1M;-0.48%
8088;2023-04-21;B;3M;-3.17%
8088;2023-04-21;B;6M;-10.60%
8088;2023-04-21;B;1Y;-13.76%
8088;2023-04-21;B;YTD;-3.56%
8088;2023-04-22;B;1M;-0.31%
8088;2023-04-22;B;3M;-3.17%
8088;2023-04-22;B;6M;-10.60%
8088;2023-04-22;B;1Y;-13.83%
8088;2023-04-22;B;YTD;-3.57%
8088;2023-04-23;B;1M;1.31%
8088;2023-04-23;B;3M;-3.56%
8088;2023-04-23;B;6M;-10.60%
8088;2023-04-23;B;1Y;-13.83%
8088;2023-04-23;B;YTD;-3.57%
8088;2023-04-24;B;1M;3.48%
8088;2023-04-24;B;3M;-0.27%
8088;2023-04-24;B;6M;-9.64%
8088;2023-04-24;B;1Y;-11.65%
8088;2023-04-24;B;YTD;-1.13%
8088;2023-04-25;B;1M;2.43%
8088;2023-04-25;B;3M;-0.90%
8088;2023-04-25;B;6M;-10.74%
8088;2023-04-25;B;1Y;-12.58%
8088;2023-04-25;B;YTD;-2.14%
8088;2023-04-26;B;1M;0.80%
